iter	RMSE
0	0.5433932277
1	0.5284015254
2	0.5126291378
3	0.4976719626
4	0.4831390964
5	0.469434225
6	0.4561783527
7	0.4441290716
8	0.4327301699
9	0.4224151635
10	0.4118008608
11	0.4019233414
12	0.3931976725
13	0.3840180557
14	0.3755027702
15	0.3674920443
16	0.3599669151
17	0.3528472355
18	0.3455562164
19	0.339627924
20	0.3332764113
21	0.3268420228
22	0.3213801705
23	0.3156055801
24	0.3102123986
25	0.3052541004
26	0.3004898659
27	0.2962425088
28	0.291978319
29	0.2881920094
30	0.2844043457
31	0.2802745161
32	0.2767114589
33	0.2729994208
34	0.2700890258
35	0.2673204044
36	0.264314815
37	0.2618185478
38	0.259336392
39	0.25650382
40	0.2542422614
41	0.252166373
42	0.2503525248
43	0.2481074816
44	0.2461092113
45	0.2439102847
46	0.2420717264
47	0.2403008364
48	0.2386937278
49	0.2372285535
50	0.2354073642
51	0.2336796782
52	0.2322266089
53	0.2307677789
54	0.2293916974
55	0.2280027041
56	0.2269000399
57	0.2257264951
58	0.2246768175
59	0.2233771442
60	0.2220929972
61	0.2210402819
62	0.2201906349
63	0.2193527549
64	0.2182895504
65	0.2175301511
66	0.2165329847
67	0.2158347507
68	0.2147447251
69	0.2139629026
70	0.2130302107
71	0.2122691479
72	0.2116173315
73	0.2108150999
74	0.2100262794
75	0.2092497116
76	0.208342794
77	0.2077900988
78	0.2071680062
79	0.2065368879
80	0.2058191525
81	0.2051219582
82	0.2044039227
83	0.2038690521
84	0.2033929533
85	0.2028999796
86	0.2024265813
87	0.2017886069
88	0.2012165114
89	0.2009187439
90	0.2003709044
91	0.1999127569
92	0.1994562703
93	0.1989531228
94	0.198651703
95	0.198233195
96	0.1979102756
97	0.1976558423
98	0.1971741591
99	0.1965021168
100	0.196097794
101	0.1957557117
102	0.1952190404
103	0.1948147703
104	0.1944935675
105	0.1941789229
106	0.1936535768
107	0.1933370238
108	0.1928509456
109	0.1925104886
110	0.1921484186
111	0.1917427076
112	0.191431818
113	0.1909547489
114	0.1906078235
115	0.1902407487
116	0.189823747
117	0.1894475696
118	0.1890078162
119	0.1885537183
120	0.1883247088
121	0.1879927542
122	0.1876585351
123	0.1873596776
124	0.186958292
125	0.1867155743
126	0.1864445484
127	0.1860378739
128	0.1857162155
129	0.1853760752
130	0.1850505273
131	0.1846298853
132	0.1844035488
133	0.1841151457
134	0.1839310598
135	0.183637871
136	0.1834281391
137	0.1832693843
138	0.1830051291
139	0.1828642261
140	0.1826039088
141	0.1824138229
142	0.1821976274
143	0.1819965232
144	0.1817904567
145	0.1815910888
146	0.1813099606
147	0.1810346693
148	0.1806919789
149	0.180412772
150	0.180167475
151	0.1800314237
152	0.1798544311
153	0.179637923
154	0.1794860858
155	0.1792158729
156	0.178986318
157	0.1787645283
158	0.1782765166
159	0.1779497538
160	0.1775033571
161	0.177243955
162	0.1770788666
163	0.1768711897
164	0.1765765938
165	0.1763005719
166	0.1760617022
167	0.1756189568
168	0.1753349393
169	0.17499255
170	0.1745380021
171	0.1742796133
172	0.1740239936
173	0.1738636367
174	0.1736684949
175	0.1733349459
176	0.1731310308
177	0.1728126102
178	0.1725087523
179	0.172316597
180	0.172092478
181	0.1718531541
182	0.1716286988
183	0.1714154669
184	0.1713227508
185	0.1710833168
186	0.1708506134
187	0.1705340674
188	0.1704055311
189	0.1701986714
190	0.170023842
191	0.1697748032
192	0.169367853
193	0.1691008908
194	0.1689516482
195	0.168637151
196	0.1684022259
197	0.1682784787
198	0.1678732721
199	0.1676998003
200	0.1675868205
201	0.1675000156
202	0.1673198756
203	0.1671925919
204	0.1669947113
205	0.1667768198
206	0.166600331
207	0.166426724
208	0.1662438376
209	0.1660756651
210	0.1658736955
211	0.1657432349
212	0.1655588132
213	0.1653241991
214	0.1652264167
215	0.1650422671
216	0.1649086385
217	0.1646575024
218	0.1644704189
219	0.164455239
220	0.164180202
221	0.16383829
222	0.1637315843
223	0.1634948393
224	0.1631904501
225	0.1630743183
226	0.162807185
227	0.1627708596
228	0.1624614209
229	0.162155759
230	0.1620213134
231	0.1618651448
232	0.1616560567
233	0.1616402922
234	0.1614615177
235	0.161357598
236	0.1611624126
237	0.1611473071
238	0.1609425194
239	0.1607747523
240	0.1605880926
241	0.1604468946
242	0.1604319916
243	0.1604036801
244	0.1603894632
245	0.1602658728
246	0.160121814
247	0.1599528845
248	0.15981627
249	0.1596161522
250	0.1594605272
251	0.1592616711
252	0.1589275914
253	0.1587869017
254	0.1586396844
255	0.1584668115
256	0.1583333284
257	0.1581654798
258	0.1580035564
259	0.1577379772
260	0.1576046956
261	0.1574194168
262	0.1574066049
263	0.1572478249
264	0.1571605111
265	0.1570345969
266	0.1570207838
267	0.1566678535
268	0.1564979337
269	0.1564447328
270	0.1563957269
271	0.156255421
272	0.1560624991
273	0.1559555119
274	0.1559423389
275	0.155724108
276	0.1556805602
277	0.1554400671
278	0.1552561573
279	0.1551299678
280	0.1549509661
281	0.1549013006
282	0.1548900985
283	0.1548165994
284	0.154706524
285	0.154694588
286	0.1546084961
287	0.1545969136
288	0.1544908363
289	0.1543378414
290	0.1542280294
291	0.1540351935
292	0.1538458481
293	0.1537402959
294	0.1536395378
295	0.1536278262
296	0.1535113433
297	0.1533400718
298	0.1533291207
299	0.1531849804
300	0.1530486276
301	0.1529432388
302	0.1527034503
303	0.1525917909
304	0.1523812627
305	0.1523090133
306	0.1521631324
307	0.1521323218
308	0.1520416393
309	0.1518678655
310	0.1517614943
311	0.1516506729
312	0.1516400586
313	0.1515465837
314	0.1514511557
315	0.1512805639
316	0.1512589606
317	0.151133906
318	0.1510228513
319	0.1510124679
320	0.1510023764
321	0.1507550857
322	0.1506546254
323	0.1504974847
324	0.1503407469
325	0.1503310484
326	0.1502027518
327	0.1499760133
328	0.1499665167
329	0.1498416619
330	0.1496284444
331	0.1495407962
332	0.1494130933
333	0.1492097277
334	0.14920054
335	0.149083383
336	0.1489152037
337	0.148802496
338	0.1486514193
339	0.1485126734
340	0.1483913008
341	0.1482844953
342	0.1482757217
343	0.1481639347
344	0.148050673
345	0.1480420698
346	0.1478899356
347	0.1478049639
348	0.1477967039
349	0.147662287
350	0.1476287534
351	0.1474789928
352	0.1473638596
353	0.1472773629
354	0.1471470045
355	0.1470212681
356	0.1469950789
357	0.1469871634
358	0.1468824107
359	0.146680999
360	0.1465671092
361	0.1465140268
362	0.1464163283
363	0.1463128283
364	0.1461966549
365	0.1460613465
366	0.1459735505
367	0.145939454
368	0.145848169
369	0.1458406008
370	0.1456607955
371	0.1456544111
372	0.145527424
373	0.1454494037
374	0.1453422502
375	0.1452380274
376	0.1450330826
377	0.144883043
378	0.1447914173
379	0.1446721351
380	0.1445856578
381	0.1445026005
382	0.1443490104
383	0.1442623602
384	0.1441100274
385	0.1439794175
386	0.1439723677
387	0.1438492902
388	0.1438427118
389	0.1437363207
390	0.1437301498
391	0.1435618175
392	0.1434836243
393	0.1434770139
394	0.1434705603
395	0.1434642336
396	0.1434030881
397	0.1433971741
398	0.1433116738
399	0.1432408078
400	0.1430980048
401	0.1430557946
402	0.1429462437
403	0.1428068087
404	0.1427705735
405	0.1426639874
406	0.1425464046
407	0.1424751078
408	0.1423760048
409	0.1422914985
410	0.1422333349
411	0.1421425448
412	0.1420263211
413	0.1419168008
414	0.1419095191
415	0.1417394352
416	0.1416457956
417	0.1415482814
418	0.141470522
419	0.1413532331
420	0.1412757821
421	0.1411198517
422	0.1410462146
423	0.140958249
424	0.1408262856
425	0.1407473664
426	0.1406596616
427	0.1405529147
428	0.14045001
429	0.1403685304
430	0.1402929878
431	0.140228936
432	0.1401329188
433	0.1401135284
434	0.1400255394
435	0.1399135779
436	0.1398188893
437	0.1397305574
438	0.1396609313
439	0.1395858257
440	0.139539365
441	0.1394404935
442	0.1393086573
443	0.1392040131
444	0.1390617069
445	0.1389448892
446	0.1388301568
447	0.1388244113
448	0.1387031977
449	0.1386597929
450	0.1385492098
451	0.1385436624
452	0.1384519151
453	0.1383720929
454	0.138308984
455	0.1382298247
456	0.1381611306
457	0.1380977355
458	0.138022401
459	0.1379102495
460	0.1378474327
461	0.137816798
462	0.1377538928
463	0.1376516684
464	0.1375377363
465	0.1374372383
466	0.1374222279
467	0.1373427866
468	0.1372318399
469	0.1371428721
470	0.1370356136
471	0.136973039
472	0.1369174449
473	0.1368510846
474	0.1367731375
475	0.1367680317
476	0.1367078586
477	0.1366300819
478	0.1365725893
479	0.13656796
480	0.1364891332
481	0.1363057503
482	0.136237886
483	0.1361755362
484	0.1361132469
485	0.1359664542
486	0.1358889395
487	0.1357968885
488	0.1357919685
489	0.1357361591
490	0.135645829
491	0.1356413215
492	0.1355390593
493	0.1354606729
494	0.1354564574
495	0.1352650682
496	0.1352084684
497	0.1350795432
498	0.1349871024
499	0.1349419187
500	0.1348905418
501	0.1348508941
502	0.1348463326
503	0.1347290539
504	0.1346254573
505	0.1345628105
506	0.1344822767
507	0.1344092554
508	0.1343293819
509	0.1342738839
510	0.1342128683
511	0.1341440417
512	0.1341402226
513	0.1341363367
514	0.1340461593
515	0.1340423758
516	0.133962927
517	0.1339098212
518	0.1338123506
519	0.1337500996
520	0.1337459307
521	0.1336461009
522	0.1335518074
523	0.1334329135
524	0.133374232
525	0.1333176505
526	0.1332007258
527	0.1330938809
528	0.1330489046
529	0.1330000024
530	0.1329431898
531	0.1328820648
532	0.1328786202
533	0.1328241614
534	0.132774615
535	0.1327711026
536	0.1327117198
537	0.1326175395
538	0.1325313903
539	0.1324673917
540	0.1323784762
541	0.1322842321
542	0.1322088073
543	0.1321517567
544	0.1320570316
545	0.1320538457
546	0.1319426957
547	0.1319100856
548	0.1319069908
549	0.1317903697
550	0.1317527363
551	0.1316424116
552	0.1315594952
553	0.1315342183
554	0.1314774562
555	0.1314214074
556	0.1312554187
557	0.1312051191
558	0.1311538572
559	0.1310433657
560	0.1308876638
561	0.1308049729
562	0.1307200662
563	0.1306761228
564	0.1306013825
565	0.1305668713
566	0.1305638408
567	0.1304565915
568	0.1303837
569	0.1303251971
570	0.130236511
571	0.1301758289
572	0.1301411725
573	0.1300351159
574	0.1299872684
575	0.1299085694
576	0.1298101576
577	0.1298066738
578	0.1297704498
579	0.129694142
580	0.1296910612
581	0.1296317137
582	0.1295231487
583	0.1294802688
584	0.1294432517
585	0.1293823428
586	0.1293298697
587	0.1292638245
588	0.1292188644
589	0.1291592179
590	0.129079666
591	0.1289995156
592	0.1288921028
593	0.1288448995
594	0.1287866284
595	0.1287384159
596	0.1286756757
597	0.1286723432
598	0.1285625335
599	0.1285092915
600	0.1284191023
601	0.1284163942
602	0.1283530563
603	0.1282899204
604	0.1282291335
605	0.1281146766
606	0.1281114534
607	0.1280842773
608	0.1280345165
609	0.1279865203
610	0.127865984
611	0.1278365371
612	0.1277598355
613	0.1276971463
614	0.1276389894
615	0.127567662
616	0.1275238696
617	0.1274437163
618	0.1273065664
619	0.1272446081
620	0.1271847097
621	0.1271249596
622	0.1270650402
623	0.1269934834
624	0.1268941081
625	0.1268915992
626	0.1268565554
627	0.1268053665
628	0.1267363658
629	0.126659058
630	0.1265920762
631	0.1265324616
632	0.1264783532
633	0.126475896
634	0.1263783929
635	0.1263498685
636	0.1262653832
637	0.1262250787
638	0.1262220841
639	0.1261882632
640	0.126185911
641	0.1261511102
642	0.1260509794
643	0.1259995757
644	0.1259642194
645	0.1259100489
646	0.1258688934
647	0.1258323839
648	0.1257793539
649	0.1257171795
650	0.1256917651
651	0.1256210354
652	0.1255761625
653	0.1255107191
654	0.1254390856
655	0.1254098282
656	0.1253290728
657	0.1253135073
658	0.1251751607
659	0.1251100002
660	0.1250539553
661	0.1249745549
662	0.1249283144
663	0.1248760205
664	0.1247982553
665	0.1247106983
666	0.1247008007
667	0.1246006508
668	0.124540866
669	0.1245032041
670	0.1244494467
671	0.1243719018
672	0.1243422902
673	0.1242728259
674	0.1242165368
675	0.1241764922
676	0.1240825405
677	0.124058775
678	0.1240313769
679	0.1239738398
680	0.123923268
681	0.1238111794
682	0.1237745079
683	0.1237441838
684	0.1236656538
685	0.1236213809
686	0.1235908933
687	0.1235554443
688	0.1235271856
689	0.12348011
690	0.1234125642
691	0.1233369224
692	0.123298957
693	0.1232305533
694	0.1231763542
695	0.1231324155
696	0.123042494
697	0.1229833741
698	0.1229813407
699	0.122936995
700	0.1228502718
701	0.1227649574
702	0.1227344417
703	0.1226475699
704	0.122600181
705	0.1225510825
706	0.1224984926
707	0.1224662407
708	0.1224108467
709	0.1223368473
710	0.1222907378
711	0.122262256
712	0.1222199704
713	0.1221346076
714	0.1220842233
715	0.1220259147
716	0.1220013154
717	0.1219620321
718	0.121921554
719	0.1218248739
720	0.1217844575
721	0.1217625442
722	0.1217501791
723	0.1216978964
724	0.1216703673
725	0.1216040608
726	0.1215573251
727	0.1215213446
728	0.121480974
729	0.1214414247
730	0.121407421
731	0.1213612844
732	0.1213334331
733	0.1212460973
734	0.1211712703
735	0.1211255235
736	0.1210716082
737	0.1210257777
738	0.1209991865
739	0.1209120118
740	0.1209102567
741	0.12079568
742	0.1207008321
743	0.1206525795
744	0.1205935923
745	0.1205566768
746	0.1205079864
747	0.1204486764
748	0.1204147257
749	0.1203559608
750	0.1203464329
751	0.1202798891
752	0.1202473615
753	0.1202118189
754	0.1202101161
755	0.1202084639
756	0.1201561406
757	0.1201146824
758	0.1201108402
759	0.1200772893
760	0.1200606506
761	0.1200590995
762	0.1199773121
763	0.1199212342
764	0.1198722983
765	0.1198175333
766	0.1197991579
767	0.1197378206
768	0.1197024791
769	0.1196731249
770	0.1196194826
771	0.1195663738
772	0.119527461
773	0.1195259516
774	0.1194781782
775	0.119427403
776	0.1193871698
777	0.11933177
778	0.1192888642
779	0.1192329176
780	0.1191572155
781	0.1191225517
782	0.1190579158
783	0.1190135664
784	0.1189601119
785	0.1189586976
786	0.1189240182
787	0.1188818142
788	0.1188172807
789	0.1187966753
790	0.1187709631
791	0.118769585
792	0.1187249787
793	0.1187063003
794	0.1186726211
795	0.1186470588
796	0.1185759546
797	0.1185402976
798	0.1184870391
799	0.118485725
800	0.1184437685
801	0.1183644181
802	0.1183479238
803	0.1182918469
804	0.1182441821
805	0.1182227461
806	0.1181768415
807	0.1181755085
808	0.1181136152
809	0.1180934275
810	0.118040769
811	0.1180060298
812	0.1179598254
813	0.117890133
814	0.1178543559
815	0.1178294505
816	0.1177906612
817	0.1177125343
818	0.1176635696
819	0.1176234777
820	0.1175854333
821	0.1175395801
822	0.1175383695
823	0.1175119419
824	0.1174720332
825	0.1174172914
826	0.1173640563
827	0.1173195432
828	0.1172860275
829	0.117237621
830	0.117217782
831	0.1171780498
832	0.1171442135
833	0.1171126433
834	0.1170850112
835	0.1170344539
836	0.1169811961
837	0.1169200192
838	0.1168932992
839	0.1168442694
840	0.1167824345
841	0.1167387838
842	0.1166912866
843	0.1166536491
844	0.1166106354
845	0.1165667746
846	0.1165659562
847	0.1165004515
848	0.1164415222
849	0.1163532825
850	0.1162802996
851	0.1162246851
852	0.1162062697
853	0.1161862302
854	0.1161582494
855	0.1161126601
856	0.1160600319
857	0.1159935809
858	0.1159417169
859	0.1159059386
860	0.1158899402
861	0.1158520767
862	0.1158319607
863	0.1157517434
864	0.1157269096
865	0.1156736706
866	0.1156242428
867	0.1156063483
868	0.1155566626
869	0.1155425955
870	0.1155047188
871	0.1154683102
872	0.1154233471
873	0.1154044567
874	0.1153607791
875	0.1153007534
876	0.1152490274
877	0.1152061004
878	0.1151796066
879	0.1151608626
880	0.1151272559
881	0.115085573
882	0.1150638823
883	0.1150354847
884	0.1150091682
885	0.114988449
886	0.114969697
887	0.1149510102
888	0.1149036118
889	0.1148956667
890	0.1148534784
891	0.114817815
892	0.114766249
893	0.1147023723
894	0.1146540641
895	0.1146203791
896	0.1145784521
897	0.1144811539
898	0.1144798352
899	0.1144574491
900	0.1143965874
901	0.1143514951
902	0.1143294213
903	0.1143050757
904	0.1142899583
905	0.1142488723
906	0.1142126949
907	0.1141715174
908	0.1141258122
909	0.1140627244
910	0.114034188
911	0.1140124527
912	0.1139955752
913	0.1139595172
914	0.113926845
915	0.1139004051
916	0.1138598109
917	0.113800557
918	0.1137575252
919	0.1137334549
920	0.1136897147
921	0.1136501579
922	0.1136216553
923	0.1136208365
924	0.1135787873
925	0.1134959301
926	0.1134604465
927	0.1134119644
928	0.1133619949
929	0.1133074028
930	0.1132947315
931	0.1132562778
932	0.1131649785
933	0.1131382245
934	0.1131027116
935	0.1130816247
936	0.1130134069
937	0.1129674839
938	0.1128921472
939	0.1128622
940	0.112841543
941	0.1128085669
942	0.1127828917
943	0.1127595282
944	0.1127193971
945	0.1126647332
946	0.112613838
947	0.1125741719
948	0.1125478036
949	0.112508408
950	0.1124908654
951	0.1124596482
952	0.1124069836
953	0.1123090852
954	0.1122868396
955	0.1122206971
956	0.1121995917
957	0.1121451135
958	0.1121212927
959	0.1121057071
960	0.1120695662
961	0.1120224544
962	0.1119952635
963	0.1119282735
964	0.1119100984
965	0.1118788461
966	0.1118452681
967	0.1117941813
968	0.1117767094
969	0.111748625
970	0.1117344124
971	0.1117223691
972	0.1116580576
973	0.1116108059
974	0.11157707
975	0.1115545441
976	0.1115065118
977	0.1114744156
978	0.1114546439
979	0.1114367252
980	0.1114245432
981	0.1114018273
982	0.1113748138
983	0.1113633949
984	0.1113409442
985	0.1112985124
986	0.1112772943
987	0.1112015325
988	0.1111689975
989	0.1111552731
990	0.1111167686
991	0.1110627613
992	0.1110438586
993	0.1109938643
994	0.1109777745
995	0.1109533689
996	0.110933292
997	0.110932603
998	0.1109081152
999	0.1108764527
